id,name,cname,data_type,view_column_name
58,$app_version,应用的版本,2,p__app_version
59,$browser,浏览器名,2,p__browser
60,$browser_version,浏览器版本,2,p__browser_version
61,$carrier,运营商名称,2,p__carrier
63,$city,城市,2,p__city
64,$country,国家,2,p__country
214,$device_id,设备 ID,2,p__device_id
219,$element_content,元素内容,2,p__element_content
221,$element_id,元素 ID,2,p__element_id
222,$element_position,元素位置,2,p__element_position
220,$element_type,元素类型,2,p__element_type
223,$event_duration,事件时长,1,p__event_duration
73,$ip,IP,2,p__ip
217,$is_first_day,是否首日访问,6,p__is_first_day
225,$is_first_time,是否首次触发事件,6,p__is_first_time
74,$is_login_id,是否登录 ID,6,p__is_login_id
1,$kafka_offset,$kafka_offset,1,p__kafka_offset
56,$lib,SDK类型,2,p__lib
57,$lib_version,SDK版本,2,p__lib_version
68,$manufacturer,设备制造商,2,p__manufacturer
66,$model,设备型号,2,p__model
69,$network_type,网络类型,2,p__network_type
65,$os,操作系统,2,p__os
67,$os_version,操作系统版本,2,p__os_version
62,$province,省份,2,p__province
243,$referrer,前向地址,2,p__referrer
224,$resume_from_background,是否从后台唤醒,6,p__resume_from_background
70,$screen_height,屏幕高度,1,p__screen_height
215,$screen_name,页面名称,2,p__screen_name
71,$screen_width,屏幕宽度,1,p__screen_width
216,$title,页面标题,2,p__title
235,$track_signup_original_id,关联原始 ID,2,p__track_signup_original_id
231,$url,页面地址,2,p__url
72,$wifi,是否使用wifi,6,p__wifi
230,ProductName,ProductName,2,p_productname
229,ProductPrice,ProductPrice,1,p_productprice
7,buttonname,按钮名称,2,p_buttonname
8,companyname,企业名称,2,p_companyname
260,count_i,count_i,1,p_count_i
9,customname,客户名称,2,p_customname
10,customtype,客户类型,2,p_customtype
259,data_flag,data_flag,2,p_data_flag
11,entrance,入口,2,p_entrance
233,grade,grade,1,p_grade
12,is_check,是否勾选5天自动登录,6,p_is_check
13,is_first_day,$是否首日访问,6,p_is_first_day
14,is_first_day_start,$是否首日启动,6,p_is_first_day_start
15,is_first_time,$是否首次访问,6,p_is_first_time
16,is_first_time_start,$是否首次启动,6,p_is_first_time_start
17,is_success,是否成功,6,p_is_success
18,linkclassify,链接一级分类,2,p_linkclassify
19,linkname,链接名称,2,p_linkname
20,logintyle,登录方式,2,p_logintyle
21,memberid,员工ID,1,p_memberid
22,mobile,手机号,2,p_mobile
241,msg_id,msg_id,2,p_msg_id
240,msg_title,msg_title,2,p_msg_title
23,operationobject,操作对象,2,p_operationobject
24,operationtype,操作类型,2,p_operationtype
232,other_property,other_property,2,p_other_property
25,programAuthority,项目权限,2,p_programauthority
26,programid,项目ID,1,p_programid
27,programname,项目名称,2,p_programname
28,programtype,项目类型,2,p_programtype
29,promotioncode,优惠码,2,p_promotioncode
30,realname,真实姓名,2,p_realname
31,referrer,$前向地址,2,p_referrer
32,referrer_host,$前向域名,2,p_referrer_host
33,resume_from_background,$是否从后台唤醒,6,p_resume_from_background
34,schemaclassify1,方案一级分类,2,p_schemaclassify1
35,schemaclassify2,方案二级分类,2,p_schemaclassify2
234,school,school,2,p_school
227,superkey,superkey,2,p_superkey
228,superkey2,superkey2,2,p_superkey2
36,teamidentify,成员身份,2,p_teamidentify
37,teamname,团队名称,2,p_teamname
38,teamname_member,成员名称,2,p_teamname_member
256,test_boolean1,test_boolean1,6,p_test_boolean1
257,test_boolean2,test_boolean2,6,p_test_boolean2
258,test_boolean3,test_boolean3,6,p_test_boolean3
248,test_count,test_count,1,p_test_count
253,test_number1,test_number1,1,p_test_number1
254,test_number2,test_number2,1,p_test_number2
255,test_number3,test_number3,1,p_test_number3
250,test_text1,test_text1,2,p_test_text1
251,test_text2,test_text2,2,p_test_text2
252,test_text3,test_text3,2,p_test_text3
39,title,$页面名称,2,p_title
40,url,$页面地址,2,p_url
41,url_path,$页面路径,2,p_url_path
42,utm_campaign,$广告系列名称,2,p_utm_campaign
43,utm_content,$广告系列内容,2,p_utm_content
44,utm_medium,$广告系列媒介,2,p_utm_medium
45,utm_source,$广告系列来源,2,p_utm_source
46,utm_term,$广告系列字词,2,p_utm_term
